text_id,n_words,n_tokens,n_lemmma,n_nouns,n_verbs,corpus,language
xinhua.20030503.0190,446,323,248,141,30,UD_Arabic-PADT,Arabic
xinhua.20030509.0142,439,334,266,150,28,UD_Arabic-PADT,Arabic
xinhua.20030509.0153,438,326,243,128,33,UD_Arabic-PADT,Arabic
xinhua.20030509.0160,436,323,261,139,31,UD_Arabic-PADT,Arabic
xinhua.20030511.0181,426,322,249,144,37,UD_Arabic-PADT,Arabic
n01001,32,30,30,12,3,UD_Arabic-PUD,Arabic
n01002,66,61,60,12,7,UD_Arabic-PUD,Arabic
n01003,66,59,59,20,6,UD_Arabic-PUD,Arabic
n01004,24,24,23,10,4,UD_Arabic-PUD,Arabic
n01005,62,53,53,19,5,UD_Arabic-PUD,Arabic
n01006,21,21,21,6,5,UD_Arabic-PUD,Arabic
n01007,22,21,21,8,0,UD_Arabic-PUD,Arabic
n01008,22,20,20,6,1,UD_Arabic-PUD,Arabic
n01009,38,37,37,10,3,UD_Arabic-PUD,Arabic
n01011,58,55,56,20,6,UD_Arabic-PUD,Arabic
n01012,16,14,14,3,0,UD_Arabic-PUD,Arabic
n01013,19,18,18,10,1,UD_Arabic-PUD,Arabic
n01014,38,36,36,15,5,UD_Arabic-PUD,Arabic
n01015,39,35,35,13,3,UD_Arabic-PUD,Arabic
n01016,36,32,32,10,4,UD_Arabic-PUD,Arabic
n01017,36,30,30,11,1,UD_Arabic-PUD,Arabic
n01018,20,20,19,5,2,UD_Arabic-PUD,Arabic
n01019,38,34,35,14,6,UD_Arabic-PUD,Arabic
n01020,41,38,38,9,3,UD_Arabic-PUD,Arabic
n01021,40,36,35,11,6,UD_Arabic-PUD,Arabic
n01022,93,79,76,26,7,UD_Arabic-PUD,Arabic
n01023,48,40,40,14,5,UD_Arabic-PUD,Arabic
n01024,32,31,29,12,5,UD_Arabic-PUD,Arabic
n01025,34,31,31,12,3,UD_Arabic-PUD,Arabic
n01026,35,34,34,13,4,UD_Arabic-PUD,Arabic
n01027,61,50,49,16,4,UD_Arabic-PUD,Arabic
n01028,22,20,20,7,7,UD_Arabic-PUD,Arabic
n01029,48,43,41,19,3,UD_Arabic-PUD,Arabic
n01030,55,53,52,20,5,UD_Arabic-PUD,Arabic
n01031,26,21,21,7,2,UD_Arabic-PUD,Arabic
n01032,14,14,13,2,4,UD_Arabic-PUD,Arabic
n01033,84,73,71,23,12,UD_Arabic-PUD,Arabic
n01034,20,20,20,6,1,UD_Arabic-PUD,Arabic
n01035,90,71,71,24,6,UD_Arabic-PUD,Arabic
n01036,57,53,51,22,6,UD_Arabic-PUD,Arabic
n01037,6,6,6,1,1,UD_Arabic-PUD,Arabic
n01038,37,35,35,10,6,UD_Arabic-PUD,Arabic
n01039,49,42,43,14,7,UD_Arabic-PUD,Arabic
n01040,15,15,15,5,0,UD_Arabic-PUD,Arabic
n01041,30,29,27,10,5,UD_Arabic-PUD,Arabic
n01042,13,13,13,5,1,UD_Arabic-PUD,Arabic
n01043,44,36,37,7,3,UD_Arabic-PUD,Arabic
n01044,46,40,40,8,6,UD_Arabic-PUD,Arabic
n01045,45,40,40,18,2,UD_Arabic-PUD,Arabic
n01046,38,36,37,16,1,UD_Arabic-PUD,Arabic
n01047,19,18,17,4,1,UD_Arabic-PUD,Arabic
n01049,24,24,24,7,3,UD_Arabic-PUD,Arabic
n01050,59,45,45,18,8,UD_Arabic-PUD,Arabic
n01051,47,40,40,14,5,UD_Arabic-PUD,Arabic
n01052,37,35,35,9,3,UD_Arabic-PUD,Arabic
n01053,56,50,48,16,8,UD_Arabic-PUD,Arabic
n01054,21,20,20,8,2,UD_Arabic-PUD,Arabic
n01055,49,43,42,11,7,UD_Arabic-PUD,Arabic
n01057,31,31,31,11,1,UD_Arabic-PUD,Arabic
n01058,50,45,44,17,3,UD_Arabic-PUD,Arabic
n01059,60,52,53,19,2,UD_Arabic-PUD,Arabic
n01060,17,17,17,5,1,UD_Arabic-PUD,Arabic
n01061,48,43,42,11,5,UD_Arabic-PUD,Arabic
n01062,39,33,33,12,1,UD_Arabic-PUD,Arabic
n01063,82,70,69,32,9,UD_Arabic-PUD,Arabic
n01064,58,54,53,20,5,UD_Arabic-PUD,Arabic
n01065,20,20,20,9,0,UD_Arabic-PUD,Arabic
n01066,59,56,56,14,7,UD_Arabic-PUD,Arabic
n01067,32,28,28,7,4,UD_Arabic-PUD,Arabic
n01068,36,32,32,9,4,UD_Arabic-PUD,Arabic
n01069,74,65,64,20,6,UD_Arabic-PUD,Arabic
n01070,57,47,47,15,6,UD_Arabic-PUD,Arabic
n01071,16,16,15,8,1,UD_Arabic-PUD,Arabic
n01072,41,37,37,13,4,UD_Arabic-PUD,Arabic
n01073,23,21,21,7,4,UD_Arabic-PUD,Arabic
n01074,75,65,63,21,7,UD_Arabic-PUD,Arabic
n01075,40,33,31,13,3,UD_Arabic-PUD,Arabic
n01076,67,56,57,19,7,UD_Arabic-PUD,Arabic
n01077,42,34,32,13,3,UD_Arabic-PUD,Arabic
n01078,18,17,17,8,2,UD_Arabic-PUD,Arabic
n01079,72,62,60,24,7,UD_Arabic-PUD,Arabic
n01080,41,38,37,13,0,UD_Arabic-PUD,Arabic
n01081,20,18,19,2,5,UD_Arabic-PUD,Arabic
n01082,12,11,11,4,1,UD_Arabic-PUD,Arabic
n01083,32,31,30,14,1,UD_Arabic-PUD,Arabic
n01084,45,41,41,10,9,UD_Arabic-PUD,Arabic
n01085,60,52,51,16,5,UD_Arabic-PUD,Arabic
n01086,61,52,51,19,5,UD_Arabic-PUD,Arabic
n01087,79,74,72,29,5,UD_Arabic-PUD,Arabic
n01088,17,17,17,5,2,UD_Arabic-PUD,Arabic
n01089,33,28,27,10,2,UD_Arabic-PUD,Arabic
n01090,36,29,29,8,1,UD_Arabic-PUD,Arabic
n01091,61,54,54,15,8,UD_Arabic-PUD,Arabic
n01092,48,46,45,14,7,UD_Arabic-PUD,Arabic
n01093,46,44,44,18,4,UD_Arabic-PUD,Arabic
n01094,44,38,38,14,1,UD_Arabic-PUD,Arabic
n01095,48,41,41,14,4,UD_Arabic-PUD,Arabic
n01096,18,18,18,5,3,UD_Arabic-PUD,Arabic
n01097,40,37,37,10,6,UD_Arabic-PUD,Arabic
n01098,44,41,41,14,4,UD_Arabic-PUD,Arabic
n01099,6,6,6,4,0,UD_Arabic-PUD,Arabic
n01101,80,68,66,21,9,UD_Arabic-PUD,Arabic
n01102,18,16,17,8,2,UD_Arabic-PUD,Arabic
n01103,16,13,13,5,2,UD_Arabic-PUD,Arabic
n01104,41,40,40,20,1,UD_Arabic-PUD,Arabic
n01105,63,51,51,24,1,UD_Arabic-PUD,Arabic
n01106,25,23,23,4,1,UD_Arabic-PUD,Arabic
n01107,5,5,5,2,1,UD_Arabic-PUD,Arabic
n01108,47,43,41,8,4,UD_Arabic-PUD,Arabic
n01109,38,36,35,9,5,UD_Arabic-PUD,Arabic
n01110,54,49,48,16,9,UD_Arabic-PUD,Arabic
n01111,40,36,36,14,3,UD_Arabic-PUD,Arabic
n01112,22,21,22,8,1,UD_Arabic-PUD,Arabic
n01113,1,1,1,0,0,UD_Arabic-PUD,Arabic
n01114,21,19,19,7,1,UD_Arabic-PUD,Arabic
n01115,19,19,19,7,2,UD_Arabic-PUD,Arabic
n01116,70,62,62,20,9,UD_Arabic-PUD,Arabic
n01117,11,10,10,5,0,UD_Arabic-PUD,Arabic
n01118,44,41,41,12,9,UD_Arabic-PUD,Arabic
n01119,80,69,68,29,4,UD_Arabic-PUD,Arabic
n01120,46,40,41,12,3,UD_Arabic-PUD,Arabic
n01121,43,40,39,9,4,UD_Arabic-PUD,Arabic
n01122,21,21,21,4,4,UD_Arabic-PUD,Arabic
n01123,25,23,23,5,5,UD_Arabic-PUD,Arabic
n01125,35,30,31,10,4,UD_Arabic-PUD,Arabic
n01127,33,31,31,12,3,UD_Arabic-PUD,Arabic
n01128,70,62,62,23,10,UD_Arabic-PUD,Arabic
n01129,51,46,46,14,4,UD_Arabic-PUD,Arabic
n01130,40,37,37,10,3,UD_Arabic-PUD,Arabic
n01131,39,35,35,15,3,UD_Arabic-PUD,Arabic
n01132,43,41,42,13,5,UD_Arabic-PUD,Arabic
n01133,41,39,38,12,6,UD_Arabic-PUD,Arabic
n01134,62,55,55,16,3,UD_Arabic-PUD,Arabic
n01135,17,17,16,6,1,UD_Arabic-PUD,Arabic
n01136,48,45,45,11,5,UD_Arabic-PUD,Arabic
n01137,33,30,30,13,1,UD_Arabic-PUD,Arabic
n01138,53,46,46,18,2,UD_Arabic-PUD,Arabic
n01139,51,44,44,14,4,UD_Arabic-PUD,Arabic
n01140,17,17,17,2,5,UD_Arabic-PUD,Arabic
n01141,62,57,55,18,5,UD_Arabic-PUD,Arabic
n01142,39,36,35,10,9,UD_Arabic-PUD,Arabic
n01143,42,38,38,7,7,UD_Arabic-PUD,Arabic
n01144,90,76,74,25,12,UD_Arabic-PUD,Arabic
n01145,73,65,65,25,7,UD_Arabic-PUD,Arabic
n01147,39,37,37,11,3,UD_Arabic-PUD,Arabic
n01148,23,22,22,9,4,UD_Arabic-PUD,Arabic
n01149,46,42,41,18,4,UD_Arabic-PUD,Arabic
n01150,68,62,62,23,11,UD_Arabic-PUD,Arabic
n02002,1,1,1,0,0,UD_Arabic-PUD,Arabic
n02004,22,22,22,6,2,UD_Arabic-PUD,Arabic
n02006,22,21,21,7,1,UD_Arabic-PUD,Arabic
n02007,21,20,20,7,1,UD_Arabic-PUD,Arabic
n02011,42,40,40,8,2,UD_Arabic-PUD,Arabic
n02016,22,22,22,6,2,UD_Arabic-PUD,Arabic
n02017,21,17,17,7,2,UD_Arabic-PUD,Arabic
n02022,1,1,1,0,0,UD_Arabic-PUD,Arabic
n02024,16,16,16,5,3,UD_Arabic-PUD,Arabic
n02027,51,46,44,13,5,UD_Arabic-PUD,Arabic
n02030,17,17,17,5,3,UD_Arabic-PUD,Arabic
n02031,14,14,14,2,6,UD_Arabic-PUD,Arabic
n02032,16,15,15,4,2,UD_Arabic-PUD,Arabic
n02033,29,27,27,13,3,UD_Arabic-PUD,Arabic
n02034,16,16,16,5,2,UD_Arabic-PUD,Arabic
n02036,13,13,13,3,2,UD_Arabic-PUD,Arabic
n02038,17,17,17,5,1,UD_Arabic-PUD,Arabic
n02040,21,19,19,5,0,UD_Arabic-PUD,Arabic
n02041,6,6,6,3,0,UD_Arabic-PUD,Arabic
n02042,58,49,49,16,6,UD_Arabic-PUD,Arabic
n02043,18,18,17,7,0,UD_Arabic-PUD,Arabic
n02044,24,22,22,3,5,UD_Arabic-PUD,Arabic
n02046,19,15,16,6,1,UD_Arabic-PUD,Arabic
n02048,19,19,19,5,3,UD_Arabic-PUD,Arabic
n02050,16,16,16,7,2,UD_Arabic-PUD,Arabic
n02052,10,10,10,1,3,UD_Arabic-PUD,Arabic
n02056,13,13,13,4,2,UD_Arabic-PUD,Arabic
n02058,15,15,15,5,1,UD_Arabic-PUD,Arabic
n02066,15,15,15,3,5,UD_Arabic-PUD,Arabic
n02068,28,26,26,10,3,UD_Arabic-PUD,Arabic
n02069,22,20,20,3,3,UD_Arabic-PUD,Arabic
n02073,22,21,21,8,1,UD_Arabic-PUD,Arabic
n02074,20,20,20,6,2,UD_Arabic-PUD,Arabic
n02075,2,2,2,1,0,UD_Arabic-PUD,Arabic
n02076,22,21,21,6,2,UD_Arabic-PUD,Arabic
n02078,42,37,36,15,3,UD_Arabic-PUD,Arabic
n02079,21,20,20,7,1,UD_Arabic-PUD,Arabic
n02081,20,20,20,10,1,UD_Arabic-PUD,Arabic
n02082,18,17,17,6,1,UD_Arabic-PUD,Arabic
n02083,16,14,14,5,1,UD_Arabic-PUD,Arabic
n03001,56,50,50,20,6,UD_Arabic-PUD,Arabic
n03002,27,27,27,6,3,UD_Arabic-PUD,Arabic
n03003,30,28,28,7,5,UD_Arabic-PUD,Arabic
n03004,16,14,14,7,1,UD_Arabic-PUD,Arabic
n03005,38,34,34,17,3,UD_Arabic-PUD,Arabic
n03006,88,72,73,29,8,UD_Arabic-PUD,Arabic
n03007,83,71,68,25,9,UD_Arabic-PUD,Arabic
n03008,20,18,18,5,1,UD_Arabic-PUD,Arabic
n03009,40,36,36,12,4,UD_Arabic-PUD,Arabic
n03010,34,29,29,13,3,UD_Arabic-PUD,Arabic
n04001,19,19,19,6,2,UD_Arabic-PUD,Arabic
n04002,46,37,39,12,3,UD_Arabic-PUD,Arabic
n04003,10,10,10,3,2,UD_Arabic-PUD,Arabic
n04005,30,27,27,9,5,UD_Arabic-PUD,Arabic
n04006,90,75,72,31,6,UD_Arabic-PUD,Arabic
n04007,85,71,71,28,6,UD_Arabic-PUD,Arabic
n04008,34,30,30,9,4,UD_Arabic-PUD,Arabic
n04009,28,24,25,8,3,UD_Arabic-PUD,Arabic
n04010,44,39,39,15,7,UD_Arabic-PUD,Arabic
n05001,29,28,28,8,2,UD_Arabic-PUD,Arabic
n05002,47,40,40,14,5,UD_Arabic-PUD,Arabic
n05003,35,32,32,9,5,UD_Arabic-PUD,Arabic
n05004,28,25,25,9,2,UD_Arabic-PUD,Arabic
n05005,28,27,27,10,2,UD_Arabic-PUD,Arabic
n05006,10,10,10,3,0,UD_Arabic-PUD,Arabic
n05007,48,43,43,15,3,UD_Arabic-PUD,Arabic
n05008,41,39,39,19,3,UD_Arabic-PUD,Arabic
n05009,36,33,33,7,4,UD_Arabic-PUD,Arabic
n05010,1,1,1,1,0,UD_Arabic-PUD,Arabic
w01001,17,17,17,7,1,UD_Arabic-PUD,Arabic
w01002,57,51,49,15,4,UD_Arabic-PUD,Arabic
w01003,62,53,54,17,7,UD_Arabic-PUD,Arabic
w01004,16,15,15,5,0,UD_Arabic-PUD,Arabic
w01005,100,81,80,33,9,UD_Arabic-PUD,Arabic
w01006,18,18,17,6,1,UD_Arabic-PUD,Arabic
w01007,52,46,47,14,4,UD_Arabic-PUD,Arabic
w01008,19,16,16,3,2,UD_Arabic-PUD,Arabic
w01009,37,37,36,10,4,UD_Arabic-PUD,Arabic
w01010,92,81,80,33,12,UD_Arabic-PUD,Arabic
w01012,21,18,18,7,3,UD_Arabic-PUD,Arabic
w01013,42,36,36,11,2,UD_Arabic-PUD,Arabic
w01014,18,17,17,9,0,UD_Arabic-PUD,Arabic
w01016,57,49,50,15,6,UD_Arabic-PUD,Arabic
w01017,39,37,37,13,8,UD_Arabic-PUD,Arabic
w01018,45,38,37,17,2,UD_Arabic-PUD,Arabic
w01019,30,29,28,10,0,UD_Arabic-PUD,Arabic
w01020,67,60,60,21,10,UD_Arabic-PUD,Arabic
w01022,56,48,48,14,8,UD_Arabic-PUD,Arabic
w01023,34,31,31,12,2,UD_Arabic-PUD,Arabic
w01025,82,69,69,22,9,UD_Arabic-PUD,Arabic
w01026,35,34,34,6,2,UD_Arabic-PUD,Arabic
w01027,54,45,42,19,10,UD_Arabic-PUD,Arabic
w01028,40,38,39,15,3,UD_Arabic-PUD,Arabic
w01029,61,55,53,21,5,UD_Arabic-PUD,Arabic
w01030,98,81,82,30,7,UD_Arabic-PUD,Arabic
w01031,37,34,34,12,2,UD_Arabic-PUD,Arabic
w01032,17,16,16,5,0,UD_Arabic-PUD,Arabic
w01033,76,63,62,21,6,UD_Arabic-PUD,Arabic
w01034,20,19,19,3,0,UD_Arabic-PUD,Arabic
w01035,77,69,69,25,9,UD_Arabic-PUD,Arabic
w01036,41,37,36,15,3,UD_Arabic-PUD,Arabic
w01037,41,38,38,15,3,UD_Arabic-PUD,Arabic
w01038,70,58,58,23,4,UD_Arabic-PUD,Arabic
w01039,55,51,51,21,6,UD_Arabic-PUD,Arabic
w01040,90,69,69,37,5,UD_Arabic-PUD,Arabic
w01041,22,21,21,5,4,UD_Arabic-PUD,Arabic
w01042,21,20,20,10,5,UD_Arabic-PUD,Arabic
w01043,21,21,21,6,1,UD_Arabic-PUD,Arabic
w01044,21,20,20,10,0,UD_Arabic-PUD,Arabic
w01045,96,82,81,28,9,UD_Arabic-PUD,Arabic
w01046,45,41,40,10,7,UD_Arabic-PUD,Arabic
w01047,77,66,67,21,10,UD_Arabic-PUD,Arabic
w01048,36,32,33,11,6,UD_Arabic-PUD,Arabic
w01049,34,30,30,11,2,UD_Arabic-PUD,Arabic
w01050,102,86,86,32,14,UD_Arabic-PUD,Arabic
w01051,40,35,36,10,4,UD_Arabic-PUD,Arabic
w01052,62,50,51,12,8,UD_Arabic-PUD,Arabic
w01053,68,57,57,26,5,UD_Arabic-PUD,Arabic
w01054,13,13,13,6,1,UD_Arabic-PUD,Arabic
w01056,16,16,16,3,7,UD_Arabic-PUD,Arabic
w01057,48,43,44,15,2,UD_Arabic-PUD,Arabic
w01058,20,20,20,7,2,UD_Arabic-PUD,Arabic
w01060,75,63,64,20,6,UD_Arabic-PUD,Arabic
w01061,22,22,22,7,2,UD_Arabic-PUD,Arabic
w01062,31,27,27,9,2,UD_Arabic-PUD,Arabic
w01063,17,15,15,4,1,UD_Arabic-PUD,Arabic
w01064,14,14,14,4,0,UD_Arabic-PUD,Arabic
w01065,54,52,51,14,8,UD_Arabic-PUD,Arabic
w01066,39,33,34,16,1,UD_Arabic-PUD,Arabic
w01067,39,33,32,10,3,UD_Arabic-PUD,Arabic
w01068,15,15,15,6,3,UD_Arabic-PUD,Arabic
w01069,86,72,70,26,8,UD_Arabic-PUD,Arabic
w01070,88,76,77,25,7,UD_Arabic-PUD,Arabic
w01071,21,21,21,7,1,UD_Arabic-PUD,Arabic
w01072,49,40,40,14,4,UD_Arabic-PUD,Arabic
w01073,70,61,61,17,9,UD_Arabic-PUD,Arabic
w01074,18,18,18,7,3,UD_Arabic-PUD,Arabic
w01075,86,75,76,28,7,UD_Arabic-PUD,Arabic
w01076,29,28,28,7,2,UD_Arabic-PUD,Arabic
w01078,22,19,18,5,3,UD_Arabic-PUD,Arabic
w01079,47,41,40,8,7,UD_Arabic-PUD,Arabic
w01080,99,78,78,32,7,UD_Arabic-PUD,Arabic
w01081,18,17,17,3,3,UD_Arabic-PUD,Arabic
w01082,17,17,16,4,0,UD_Arabic-PUD,Arabic
w01083,30,27,27,12,1,UD_Arabic-PUD,Arabic
w01084,31,27,27,7,4,UD_Arabic-PUD,Arabic
w01085,91,78,78,25,9,UD_Arabic-PUD,Arabic
w01086,43,38,39,15,4,UD_Arabic-PUD,Arabic
w01087,22,18,18,2,1,UD_Arabic-PUD,Arabic
w01088,19,18,18,7,1,UD_Arabic-PUD,Arabic
w01089,67,59,59,25,4,UD_Arabic-PUD,Arabic
w01091,31,29,29,5,4,UD_Arabic-PUD,Arabic
w01092,27,25,25,10,1,UD_Arabic-PUD,Arabic
w01093,17,17,17,8,3,UD_Arabic-PUD,Arabic
w01094,35,32,32,9,3,UD_Arabic-PUD,Arabic
w01095,75,64,62,24,9,UD_Arabic-PUD,Arabic
w01096,56,51,51,15,5,UD_Arabic-PUD,Arabic
w01097,34,33,34,12,2,UD_Arabic-PUD,Arabic
w01098,18,16,16,2,5,UD_Arabic-PUD,Arabic
w01099,7,7,7,2,1,UD_Arabic-PUD,Arabic
w01100,66,61,60,22,8,UD_Arabic-PUD,Arabic
w01101,56,46,45,16,4,UD_Arabic-PUD,Arabic
w01102,24,22,22,9,2,UD_Arabic-PUD,Arabic
w01103,14,13,13,7,1,UD_Arabic-PUD,Arabic
w01105,75,63,63,24,7,UD_Arabic-PUD,Arabic
w01106,46,41,41,7,8,UD_Arabic-PUD,Arabic
w01107,39,37,36,15,3,UD_Arabic-PUD,Arabic
w01108,43,38,38,11,4,UD_Arabic-PUD,Arabic
w01109,41,39,39,10,4,UD_Arabic-PUD,Arabic
w01111,43,39,38,14,3,UD_Arabic-PUD,Arabic
w01112,34,32,31,12,3,UD_Arabic-PUD,Arabic
w01113,65,59,58,17,5,UD_Arabic-PUD,Arabic
w01114,19,17,17,7,4,UD_Arabic-PUD,Arabic
w01115,93,80,79,21,11,UD_Arabic-PUD,Arabic
w01116,68,55,55,19,10,UD_Arabic-PUD,Arabic
w01117,22,22,22,6,4,UD_Arabic-PUD,Arabic
w01119,47,42,41,11,5,UD_Arabic-PUD,Arabic
w01121,15,15,15,3,2,UD_Arabic-PUD,Arabic
w01122,23,21,21,3,3,UD_Arabic-PUD,Arabic
w01124,42,37,38,14,4,UD_Arabic-PUD,Arabic
w01125,72,58,58,29,2,UD_Arabic-PUD,Arabic
w01127,23,23,23,10,0,UD_Arabic-PUD,Arabic
w01128,5,5,5,1,2,UD_Arabic-PUD,Arabic
w01129,47,46,46,13,3,UD_Arabic-PUD,Arabic
w01130,98,77,78,33,8,UD_Arabic-PUD,Arabic
w01131,26,24,24,5,2,UD_Arabic-PUD,Arabic
w01132,26,25,26,7,3,UD_Arabic-PUD,Arabic
w01133,33,28,28,7,4,UD_Arabic-PUD,Arabic
w01134,32,31,30,17,3,UD_Arabic-PUD,Arabic
w01135,73,66,66,29,3,UD_Arabic-PUD,Arabic
w01136,39,35,35,12,1,UD_Arabic-PUD,Arabic
w01137,47,45,45,25,5,UD_Arabic-PUD,Arabic
w01138,1,1,1,1,0,UD_Arabic-PUD,Arabic
w01139,34,30,30,10,2,UD_Arabic-PUD,Arabic
w01140,89,77,76,33,6,UD_Arabic-PUD,Arabic
w01141,54,46,46,17,3,UD_Arabic-PUD,Arabic
w01142,45,36,36,13,0,UD_Arabic-PUD,Arabic
w01143,24,24,24,9,1,UD_Arabic-PUD,Arabic
w01144,86,68,68,28,9,UD_Arabic-PUD,Arabic
w01146,37,35,36,8,3,UD_Arabic-PUD,Arabic
w01147,41,39,39,13,3,UD_Arabic-PUD,Arabic
w01148,1,1,1,0,0,UD_Arabic-PUD,Arabic
w01149,43,40,39,15,4,UD_Arabic-PUD,Arabic
w01150,81,71,68,31,5,UD_Arabic-PUD,Arabic
w02001,7,7,7,1,0,UD_Arabic-PUD,Arabic
w02002,41,35,34,12,4,UD_Arabic-PUD,Arabic
w02003,37,34,34,10,6,UD_Arabic-PUD,Arabic
w02004,45,39,39,19,3,UD_Arabic-PUD,Arabic
w02005,40,39,39,9,5,UD_Arabic-PUD,Arabic
w02006,23,22,22,9,2,UD_Arabic-PUD,Arabic
w02007,49,46,46,16,9,UD_Arabic-PUD,Arabic
w02008,55,49,50,20,5,UD_Arabic-PUD,Arabic
w02009,64,56,56,22,4,UD_Arabic-PUD,Arabic
w02011,18,18,18,3,4,UD_Arabic-PUD,Arabic
w02012,17,16,16,5,1,UD_Arabic-PUD,Arabic
w02013,22,21,21,7,3,UD_Arabic-PUD,Arabic
w02014,19,19,19,6,1,UD_Arabic-PUD,Arabic
w02015,56,50,49,12,9,UD_Arabic-PUD,Arabic
w02016,34,31,31,10,2,UD_Arabic-PUD,Arabic
w02017,22,21,20,11,4,UD_Arabic-PUD,Arabic
